conversation_id,conversation_label,baseline_id,backend,mode,turn_index,speaker,SGI,SGI_clipped,Velocity,d_SGI,d_Velocity,phase,manifold_distance,on_manifold,top_symbol,symbol_confidence
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,0,AI,1.0,1.0,0.0,0.0,0.0,T,1.335444970341207,1,introspection,0.2630275011768657
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,1,User,1.0,1.0,5.011446603508057,0.0,5.011446603508057,T,1.169065491461141,1,introspection,0.26060567126372913
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,2,AI,0.9369818612914299,0.9369818612914299,13.807035317932884,-0.06301813870857009,8.795588714424827,T,0.8773339774316427,1,understanding,0.2734140234742576
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,3,User,2.2643654878707324,2.2643654878707324,13.003862305117257,1.3273836265793024,-0.8031730128156269,G,1.0075726977376944,1,introspection,0.1729504971121117
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,4,AI,1.2235350682269721,1.2235350682269721,16.70454016761009,-1.0408304196437603,3.7006778624928334,T,0.7848188150290221,1,listening,0.22069362004657808
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,5,User,3.436594089783773,3.436594089783773,15.38847604003942,2.2130590215568007,-1.3160641275706713,G,1.190403768618489,1,experience,0.27059089833181543
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,6,AI,0.9229679460550784,0.9229679460550784,12.260392937840383,-2.513626143728694,-3.128083102199037,T,0.928797993046,1,experience,0.25314526054280007
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,7,User,1.1315156565938895,1.1315156565938895,28.769342020395147,0.20854771053881116,16.508949082554764,T,0.3831191298734427,1,doubt,0.2082143292784942
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,8,AI,1.0593409760741932,1.0593409760741932,14.548833717888424,-0.07217468051969633,-14.220508302506722,T,0.8526817104184425,1,introspection,0.21351456944132702
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,9,User,1.6809904725031264,1.6809904725031264,15.88081578012503,0.6216494964289332,1.3319820622366052,G,0.8430749689392152,1,understanding,0.3041615054137594
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,10,AI,0.3730842269932962,0.3730842269932962,2.8577058854430724,-1.3079062455098303,-13.023109894681957,T,1.2600845914708287,1,introspection,0.22597952152620887
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,11,User,2.687405554224536,2.687405554224536,8.945747142178943,2.31432132723124,6.08804125673587,G,1.1966279570412668,1,introspection,0.21231632310733256
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,12,AI,3.122598779850859,3.122598779850859,4.205907203333673,0.4351932256263229,-4.73983993884527,G,1.4104559904330944,1,reflection,0.24111079961160145
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,bge-m3,centered,13,User,1.139908998520321,1.139908998520321,2.5548036540282895,-1.982689781330538,-1.6511035493053838,T,1.251597110827718,1,experience,0.2459676602628166
